Finds_numb,N,19,11	Phase,C,254	X,N,19,11	Y,N,19,11	Z,N,19,11	Location,C,254	SiteCode,C,254	Trench,C,254	Context,C,254	Grid,C,254	Type,C,254	Species,C,254	Element,C,254	Side,C,254	Preservati,C,254	Informatio,N,19,11	Taphonomy,C,254	JellyBone,C,254	Measuremen,C,254	Action,C,254	ZooMsID,C,254	Notes,C,254
82611	Dryland	502802.656	481010.561	24.601	184	SC07	SC24	85	0	Antler	Cervid sp.	Antler	 -	D	2	Desiccated; fragmentary; fragile; root action; post-dep modification; excavation damage	No	 -	ZooMs	SC133	Fragments that appear to be, from the internal matrix, antler. Species ID by ZooMs. The antler is desiccated and very fragmentary and fragile. There is little to no outer surface remaining on the fragments and roots have grown through some. The breakage
82638	Dryland	502833.886	481012.12	24.826	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; fragile; root etching	No	 -	ZooMs	SC134	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is fragmentary and fragile. The fragments with cortical bone remaining are clearly also root etched.
82741	Dryland	502803.066	481010.936	24.636	184	SC07	SC24	85	0	Antler	Unidentified	Antler	 -	D	1	Fragmentary	No	 -	ZooMs	SC135	Small fragments of what appears to be antler from the internal structure. Sampled for ZooMs but the sample failed. There is no external surface surviving on any of the fragments.
82816	Modern	502828.587	481011.866	24.991	191	SC07	SC23	46	0	Bone	Rabbit	Femur	Left	A	5	Modern	No	 -	Conserved	0	Modern intrusive femur of a rabbit. The preservation and bone colour indicate this.
82833	Eastern platform	502839.867	480999.086	23.557	191	SC06	SC22	312	0	Bone	Red deer	Metapodial	 -	D	2	Dessicated, compressed; warped; shrinking; cracking; longitudinally split?	No	 -	Conserved	0	Proximal fragment of a red deer metapodial. The bone appears as though it was originally demineralised but it is now desiccated and it has also shrunk. Some of fragments also exhibit compression and warping too. Due to the desiccation, there are cracks a
82834	Eastern platform	502839.143	480998.857	23.49	177	SC06	SC22	312	0	Antler	Red deer	Antler	 -	D	2	Desiccated, compressed	 -	 -	Conserved	0	Located in a slim white box labelled 'YAT Conserved Antler, Box 19'.
82850	Dryland	502829.329	481013.278	24.979	191	SC07	SC23	48	0	Bone	Tetraonidae sp.	Tibiotarsus	Right	C	3	Excavation damage; post-dep breakage	No	 -	Conserved	0	Proximal half of a bird tibiotarsus. There is modern damage to the posterior aspect likely caused during excavation. The breakage to the midshaft appears to be post-depositional.
82943	Dryland	502827.741	481010.312	24.953	14	SC06	SC23	46	0	Bone	Unidentified	Unidentified	 -	D	1	 -	 -	 -	 -	0	One small fragment of bone. Located in a medium small box labelled 'BOX 14', in the refridgerator.
83188	Dryland	502825.513	481012.741	24.922	184	SC07	SC23	48	0	Bone	Aurochs	Unidentified	 -	D	1	Desiccated; fragile; root action	No	 -	ZooMs	SC136	Fragment of bone that is too poorly preserved to identify to species or element. Species ID by ZooMs. The fragment is desiccated and fragile. There is little to no cortical bone remaining, and roots have grown throughout the fragment.
83358	Dryland	502829.232	481010.49	24.83	191	SC07	SC23	48	0	Bone	Aurochs	Tibia frag.	 -	D	2	Fragmentary; desiccated; delamination; root action; modern damage	No	 -	 -	0	Fragment of aurochs tibia midshaft. The bone is desiccated and there are cracks going through the bone as a result. The cortical bone is delaminating and flaking off and there are clearly roots growing throughout the specimen. There is a lot of modern da
83451	Dryland	502832.728	481011.534	24.889	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Charred	No	 -	 -	0	Tiny fragments of bone that are too small to identify to species or element. Found by C. Conneller in with a flint. There is evidence of charring on several of the fragments.
83737	Dryland	502827.953	481013.343	24.965	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Desiccated; delamination; fragmentary; root action	No	 -	ZooMs	SC137	Fragments of bone that are too small to identify to species or element. Sampled for ZooMs however the sample failed. The bone is desiccated and fragmentary. Appears to be a fragment of cortical bone that has delaminated and flaked away. It also apears to
83739	Dryland	502829.609	481013.423	24.906	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary	No	 -	ZooMs	SC138	Tiny fragments of bone that are too small and poorly preserved to identify them to species or element. Sampled for ZooMs however the sample failed. Little to no cortical bone remains on any of the fragments.
83749	Dryland	502827.138	481017.375	25.042	184	SC07	SC23	48	0	Bone	Cervid sp.	Long bone frag.	 -	D	2	Fragmentary; desiccated; fragile; cracking; root action	No	 -	ZooMs	SC139	Fragments of a large mammal long bone midshaft. Species ID by ZooMs. The bone is desiccated, fragmentary and fragile. Cracks, splits and breaks have occurred throughout the bone as a result of the desiccation. It was found in the ground with a charred le
83930	Dryland	502829.404	481012.084	24.929	184	SC07	SC23	48	0	Bone	Aurochs	Unidentified	 -	D	1	Desiccated; fragmentary; post-dep breakage; excavation damage; root action	No	 -	ZooMs	SC140	Small fragments of bone that are too poorly preserved to identify to species or element. Species ID by ZooMs. The bone is desicated and very fragmentary. The majority of the fragmentation appears to be post-depositional however it is likely that this was
83935	Dryland	502825.913	481011.031	24.875	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary	No	 -	ZooMs	SC141	Tiny fragments of bone that are too small to identify to species or element. Sampled for ZooMs but the sample failed.
83936	Dryland	502826.508	481013.248	24.921	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary	No	 -	ZooMs	SC142	Tiny fragments of bone that are too small to identify to species or elements. Species ID by ZooMs. The bone is very fragmentary and fragile.
83953	Dryland	502832.977	481016.758	24.953	184	SC07	SC23	48	0	Bone	Cervid sp.	Long bone frag.	 -	D	2	Fragmentary; cracking; root action; desiccated; delaminating; rounded; post-dep modification	No	 -	ZooMs	SC143	Fragments of bone that appear to come from a large mammal long bone. Species ID by ZooMs. The bone is desiccated and cracks and splits have occurred in the bone as as a result. The bone is also fragmentary and there is root etching to the cortical bone s
83964	Dryland	502830.03	481010.747	24.872	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Desiccated; fragmentary; post-dep modification; root action	No	 -	ZooMs	SC144	Fragments of bone that are too poorly preserved to identify to species or element. Species ID by ZooMs. The cortical bone surface is root etched and pitted. The bone is desiccated and fragmentary. The break edges are quite rounded and smoothed by post-de
84120	Dryland	0	0	0	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; post-dep modification	No	 -	ZooMs	SC145	Small fragments of bone that are too poorly preserved to identify to species or element. Species ID by ZooMs. The bone is desiccated and fragmentary.  There appears to be no cortical bone remaining on any of the fragments.The breakage appears to be post-
84130	Dryland	0	0	0	184	SC07	SC23	48	0	Bone	Aurochs	Humerus	Right	C	2	Desiccated; cracking; excavation damage; percussion break; longitudinally split; rounded; post-dep modification	No	 -	ZooMs	SC146	Large fragment of bone that appears to be from a large mammal proximal humerus. Very robust specimen so therefore likely to be from an aurochs. Sampled for ZooMs. The bone is quite desiccated and there are cracks occurring in the bone as a result. There
84186	Dryland	502833.989	481014.526	24.872	184	SC07	SC23	48	0	Bone	Cervid sp.	Long bone frag.	 -	D	2	Fragmentary; desiccated; rounded; post-dep modification; excavation damage	No	 -	ZooMs	SC147	Fragments of a large mammal long bone. Species ID by ZooMs. The bone is desiccated, fragmentary and very rounded and smoothed by post-depositional processes. There is little to no cortical bone remaining on the fragments either, so these two factors comb
84242	Dryland	502832.144	481013.468	24.795	184	SC07	SC23	48	0	Bone	Aurochs	Long bone frag.	 -	D	2	Fragmentary; desiccated; cracking; delaminating; root action; excavation damage	No	 -	ZooMs	SC148	Fragments of a large mammal long bone. Species ID by ZooMs. The bone is desiccated and there are visible cracks and splits. The cortical bone has delaminated and become separate layers. There are roots growing throughout the specimen. There is quite a bi
84284	Dryland	502833.395	481014.15	24.919	184	SC07	SC23	48	0	Bone	Aurochs	Unidentified	 -	D	1	Fragmentary; desiccated; fragile	No	 -	ZooMs	SC149	Fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is very desiccated, fragmentary and fragile. Little to no cortical bone remains on any of the fragments.
84352	Dryland	502825.643	481015.541	24.919	184	SC07	SC23	48	0	Bone	Aurochs	Unidentified	 -	D	1	 -	No	 -	ZooMs	SC150	ID by ZooMs. Only soil remains in the bag. The bag is located in one large outer bag labelled 'Finds used during ZooMS/Only soil remains'.
84419	Dryland	502825.329	481014.959	24.744	184	SC07	SC23	48	0	Bone	Cervid sp.	Tooth	 -	D	2	 -	No	 -	ZooMs	SC151	ID by ZooMs. ZooMS notes indicate that both the bone (SC151b) and tooth (SC151a) were used leaving nothing remaining. The empty bag is located in one large outer bag labelled 'Finds used during ZooMS/Only soil remains'.
84448	Dryland	502825.359	481014.912	24.727	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Desiccated; fragmentary; root etching; rounded; post-dep processes	No	 -	ZooMs	SC152	Small fragments of bone that are possibly from a long bone. Species ID by ZooMs. The bone is desiccated and fragmentary. The cortical bone is pitted and root etched. The fragments are quite rounded and smoothed from post-depositional processes.
84541	Dryland	502834.613	481016.473	24.892	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary; excavation damage	No	 -	ZooMs	SC15	Small fragments of bone that are too poorly preserved to identify to species or element. Sampled for ZooMs however the sample failed. There is no cortical bone remaining on the fragments. The fragmentation appears to be fairly modern and likely occurred
84549	Dryland	502832.432	481007.889	24.705	184	SC07	SC23	48	0	Bone	Aurochs	Long bone frag.	 -	D	2	Desiccated; cracking; rounded; post-dep modification; spiral fracture	No	 -	ZooMs	SC154	Fragment of large mammal long bone. Species ID by ZooMs. The bone is fairly robust but still quite desiccated. Cracks have occurred in the bone as a result of the desiccation. The edges of the specimen aare rounded by post-depositional processes. The fra
84552	Dryland	502828.254	481014.653	24.815	191	SC07	SC23	48	0	Bone	Aurochs	Metacarpal	Right	C	3	Desiccated; cracking; excavation damage; root action; spiral fracture; post-dep modification	No	 -	 -	0	Proximal end of an aurochs metacarpal. The bone is desiccated and cracks and splits have occurred in the cortical bone as a result. There is modern damage around the edges of the proximal articular surface and also to the break at the midshaft that appea
84598	Dryland	502825.326	481014.976	24.75	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	 -	No	 -	ZooMs	SC155	ID by ZooMs. All of the bone was used during ZooMS testing, so only the bag remains. The empty bag is located in one large outer bag labelled 'Finds used during ZooMS/Only soil remains'.
84632	Dryland	502831.614	481011.553	24.887	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Charred	No	 -	ZooMs	SC156	ZooMs fail. All of the bone was used during ZooMS testing, so only the bag remains. The empty bag is located in one large outer bag labelled 'Finds used during ZooMS/Only soil remains'.
84652	Dryland	502830.711	481012.448	24.802	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Desiccated; delamination; cracking; charred; excavation damage; spiral fracture	No	 -	ZooMs	SC157	Fragments of bone that are too poorly preserved to identify to species or element. Sampled for ZooMs however the sample failed. The bone is desiccated and the bone layers have begun to crack and separate. It also appears as though it may have been charre
84654	Dryland	0	0	0	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; fragile; desiccated; rounded; post-dep modification	No	 -	ZooMs	SC158	Tiny fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated, fragmentary and fragile. The fragments are rounded and smoothed by post-depositional processes.
84685	Dryland	502829.564	481018.731	24.898	184	SC07	SC23	48	0	Bone	Large mammal sp.	Unidentified	 -	D	1	Desiccated; root action; rounded; post-dep modification	No	 -	ZooMs	SC159	Large fragment of bone that is too poorly preserved to identify to species or element, however it is possible to say it likely originates from a large mammal due to the robust nature of the fragment. Sampled for ZooMs however the sample failed. The bone
84689	Dryland	0	0	0	184	SC07	??	??	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; fragile; root action; post-dep modification; rounded; excavation damage	No	 -	ZooMs	SC160	Fragments of bone that are too poorly preserved to identify to species or element. Species ID by ZooMs. The bone is desiccated, fragmentary and fragile. The cortical bone that remains on the fragments is pitted and root etched. Some of the breakage obvio
84691	Dryland	502828.449	481014.85	24.814	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; fragile; desiccated; root action	No	 -	ZooMs	SC161	Tiny fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated, very fragmentary and fragile. The bone surfaces on the fragments appears pitted and undulating, likely from root activity.
84696	Dryland	502825.621	481014.916	24.733	191	SC07	SC23	48	0	Bone	Large mammal sp.	Long bone frag.	 -	D	1	Desiccated; cracking; excavation damage; root activity	No	 -	 -	0	Fragments of bone from a large mammal long bone midshaft. The bone is desiccated and cracking as a result. There is modern excavation damage to one edge of the larger specimen which has removed a section of bone. Evidence of root activity on the cortical
84699	Dryland	502831.424	481013.539	24.79	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated; excavation damage; root action	No	 -	ZooMs	SC162	Fragments of bone that are too poorly preserved to identify to species or element. Species ID by ZooMs. The bone is desiccated and fragmentary. Any cortical bone remaining on the fragments is pitted and root etched. There is evidence of modern breakage a
84719	Dryland	502833.472	481012.4	24.928	184	SC07	SC23	48	0	Antler	Cervid sp.	Antler?	 -	D	2	Fragmentary; desiccated; excavation damage; post-dep breakage; root action; longitudinally split?	No	 -	ZooMs	SC163	Fragments, some of which refit, of possible antler; identified as such due to the remnance of surface detail. Species ID by ZooMs. The antler is very desiccated and fragmentary. There are modern breaks and fragmentation caused by excavation and lifting,
84734	Dryland	502827.733	481012.173	24.93	184	SC07	SC23	48	0	Bone	Aurochs	Unidentified	 -	D	1	Fragmentary; fragile; desiccated; cracking; root action	No	 -	ZooMs	SC164	Tiny fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is very fragmentary and fragile. The bone is desiccated and cracks have occurred in the fragments as a result. There is evidence of some root activ
84755	Dryland	502827.146	481012.773	24.905	191	SC07	SC23	48	0	Bone	Large mammal sp.	Vertebra	 -	D	2	Desiccated; fragmentary; fragile; cracking; rounded; post-dep modification; root etching; excavation damage	No	 -	 -	0	Large fragment of a very robust large mammal vertebral body? Sampled for ZooMs however the sample failed. The bone is desiccated, fragmentary and fragile. There are cracks and breaks in the bone as a result. All of the fragments are rounded and smoothed
84755	Dryland	502827.146	481012.773	24.905	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary; desiccated; cracking; excavation damage	No	 -	ZooMs	SC165	Fragments of bone that are too small to identify to species or element. Sampled for ZooMs however the sample failed. The bone appears desiccated and fragmentary. There are cracks occurring in the fragments as a result. Small amount of modern breakage and
84756	Dryland	502827.851	481014.19	24.894	191	SC07	SC23	48	0	Bone	Large mammal sp.	Metapodial frag.	 -	D	2	Desiccated; fragmentary; fragile; cracking; root etching; excavation damage	No	 -	Conserved	0	Fragment of large mammal metapodial midshaft. The bone is desiccated and very fragmentary and fragile. The morphology suggests it may be from a juvenile animal and the epiphyses is unfused. There are cracks and breaks in the cortical bone as a result of
84763	Dryland	0	0	0	191	SC07	SC23	48	0	Bone	Red Deer	Humerus	Left	C	3	Fragmentary; fragile; desiccated; delaminating; root action; post-dep modification; rounded; excavation damage; weathering?	No	 -	 -	 -	Distal half of a red deer humerus. The bone is desiccated, fragmentary and fragile, and the bone is cracking as a result. The cortical bone is delaminating on the midshaft and where it does survive, it is very pitted, undulating and root etched. The troc
84763	Dryland	0	0	0	184	SC07	SC23	48	0	Antler	Red Deer	Burr	 -	D	2	Fragmentary; fragile; desiccated; root action; excavation damage	No	 -	 -	0	Partial burr of a red deer antler. The antler is very desiccated and also very fragmentary and fragile. There is little to no surface detail retained. Impossible to say what caused the original breakage due to the high fragmentation caused by excavation
84763	Dryland	0	0	0	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Fragmentary;desiccated	No	 -	 -	0	Fragments of bone that are too small to identify to species or element. The bone is desiccated and very fragmentary. There is little to no cortical bone remaining on the fragments. Due to the small size of the fragments it is impossible to identify the c
84958	Dryland	502831.378	481014.44	24.937	184	SC07	SC23	48	0	Bone	Cervid sp.	Long bone frag.	 -	D	2	Desiccated; fragmentary; fragile; excavation damage; root action	No	 -	ZooMs	SC168	Fragments of bone that are too poorly preserved to be able to identify the specific species or element other than large mammal long bone. Species ID by ZooMs.The bone is desiccated, fragmentary and fragile. There are modern breaks that likely occurred as
84968	Dryland	502828.83	481011.499	24.875	184	SC07	SC23	48	0	Bone	Aurochs	Unidentified	 -	D	1	Desiccated; fragmentary; root action; excavation damage	No	 -	ZooMs	SC169	Fragments of bone that are too poorly preserved to identify to species or element. Species ID by ZooMs. The bone is desiccated and fragmentary. There are modern breaks and fragmentation caused by excavation and lifting. The cortical bone that survives on
84983	Dryland	502825.806	481014.937	24.867	184	SC07	SC23	48	0	Bone	Aurochs	Vertebra?	 -	D	2	Desiccated; excavation damage; rounded post-dep modification	No	 -	ZooMs	SC170	Fragment of neural arch of a large mammal vertebra. It is not possible to be any more specific than that. Species ID by ZooMs. The bone is desiccated. There is modern breakage caused by excavation and lifting. The rest of the specimen is rounded and smoo
84984	Dryland	502825.988	481014.769	24.911	184	SC07	SC23	48	0	Bone	Aurochs	Unidentified	 -	D	1	Desiccated; root etching; excavation damage	No	 -	ZooMs	SC171	Small fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated and the cortical bone is root etched. There appears to be some modern damage to the fragments and this likely occurred as a result o
84985	Dryland	502825.937	481014.845	24.9	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Desiccated; fragmentary; fragile; root etching; excavation damage	No	 -	ZooMs	SC172	Fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone is desiccated, fragmentary and fragile. The cortical bone on the largest fragment is clearly root etched. Further fragmentation of the bone was clearly
85002	Dryland	502827.546	481012.847	24.95	191	SC07	SC23	48	0	Bone	Beaver	Mandible	Left	C	3	Desiccated; fragmentary; excavation damage; percussion break?	No	Length of cheek-teeth: 34.99mm	Photographed; conserved; aDNA; isotopes	0	Partial mandible of a beaver. The front portion of the mandible is missing (but a partial incisor survives) and the ramus has broken off and is missing. The mandible contains complete adult teeth p4-m3; all of which seem to be in wear. The bone is desicc
85015	Dryland	502831.697	481006.306	24.669	184	SC07	SC23	48	0	Tooth	Red Deer	Molar	 -	D	2	Fragmentary	No	 -	ZooMs	SC173	Fragments of a red deer molar. The tooth is very fragmentary and has broken into several pieces. The top layer of enamel has eroded away. Not possible to identify the specific tooth or the occlusial surface wear as the specimen is too fragmentary and not
85045	Dryland	502826.312	481012.416	24.907	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	 -	No	 -	ZooMs	SC174	ZooMs fail. All of the bone was used during ZooMS testing, so only the bag remains. The empty bag is located in one large outer bag labelled 'Finds used during ZooMS/Only soil remains'.
85049	Dryland	502831.557	481006.36	24.685	184	SC07	SC23	48	0	Tooth	Cervid sp.	Tooth	 -	C	2	Fragmentary	No	 -	ZooMs	SC175	Fragment of tooth. Species ID by ZooMs. The fragment is too small to establish the specific tooth of origin.
85098	Dryland	502829.937	481013.455	24.92	191	SC07	??	??	0	Bone	Red Deer	Pelvis	Right	C, F	2	Fragmentary; desiccated; cracking; root etching; delaminating; excavation damage; warped	No	 -	Conserved	0	Fragments of a red deer acetabulum. The bone is very desiccated, and splits and breaks have occurred as a result. The cortical bone is very pitted and root etched with some have flaked away on the acetabulum articular surface. There is modern breakage an
85254	Dryland	502832.458	481005.925	24.643	184	SC07	SC23	48	0	Bone	Large mammal sp.	Navicular-cuboid	 -	D	2	Fragmentary; desiccated; excavation damage; post-dep modification	No	 -	 -	0	Fragments of bone that appear to be part of a large mammal navicular-cuboid. Found by C. Conneller in with a flint. The bone is desiccated, fragmentary and fragile. The fragmentation was increased by excavation and lifting. The edges of the specimen are
85491	Dryland	502832.426	481013.524	24.915	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	Charred	No	 -	 -	0	Fragment of bone that has been burnt (calcined). Found by C. Conneller in with a flint. Due to the small size of the fragment and its burnt nature, it is not possible to identify this fragment to species or element.
85620	Dryland	502827.393	481015.327	24.932	184	SC07	SC23	48	0	Bone	Unidentified	Unidentified	 -	D	1	 -	No	 -	 -	0	Found by C. Conneller in with a flint. Still in wet peat. The empty bag is located in one large outer bag labelled 'Finds used during ZooMS/Only soil remains'.
85645	Dryland	0	0	0	184	SC07	SC23	48	0	Bone	Large mammal sp.	Metapodial frag.	 -	D	2	Desiccated; root etching; fragmentary; excavation damage; longitudinally split?	No	 -	 -	0	Fragments of a large mammal long bone that refit, thought to be from a metapodial; possibly the proximal end. The bone is desiccated and there is a lot of root etching on the cortical bone surface. The specimen is fragmentary and the breakage appears mod
85691	Dryland	502826.649	481014.728	24.855	191	SC07	SC23	48	0	Bone	Aurochs	Calcaneus	Right	C	2	Desiccated; fragmentary; cracking; excavation damage; root etching	No	 -	Conserved	0	Partial calcaneus of an juvenile? aurochs. The proximal epiphyses appears to be unfused and missing, however there is excavation damage to this area so this is not 100% certain. The bone is desiccated and fragmentary, and cracks have occurred in the cort
85691	Dryland	502826.649	481014.728	24.855	191	SC07	SC23	48	0	Bone	Large mammal sp.	Long bone frag.	 -	D	2	Desiccated; root etching; excavation damage; debitage?; percussion break; spiral fracture; longitudinally split	No	 -	Conserved	0	Fragment of large mammal long bone found within the same bag as <85691a>. The bone is desiccated and there is root etching on the cortical bone surface. There is a small section of modern damage that occurred on excavation and lifting, and the fragment i
85729	Dryland	502828.862	481018.844	24.953	186	SC07	SC23	48	0	Bone	Red Deer	Cranium	Right	D	2	Fragmentary; desiccated; bone stain; cracking; root activity	No	 -	Conserved	0	Skull fragment, mostly right-side and top. Has antler pedicle but is impossible to tell if antler was attached or shed (so no seasonality indicator). [2 bags marked "Bone pieces from soil block" plus box with conserved block remains] Very crumbly after c
85740	Dryland	502834.871	481012.939	24.834	184	SC07	SC23	48	0	Bone	Cervid sp.	Unidentified	 -	D	1	Fragmentary; desiccated	No	 -	 -	SC177	Tiny fragments of bone that are too small to identify to species or element. Species ID by ZooMs. The bone appears desiccated and fragmentary. There is no cortical bone remaining.
85741	Dryland	502827.48	481016.786	24.963	184	SC07	SC23	48	0	Bone	Cervid sp.	Vertebra?	 -	D	2	Desiccated; fragmentary; root action; excavation damage	No	 -	ZooMs	SC178	Fragments of mostly cancellous bone. Possibly from a large mammal vertebra. Species ID by ZooMs. There is little to no cortical bone remaining making it very difficult to be certain of the original shape and therefore element of origin. Roots have grown
85772	Dryland	502825.964	481016.83	24.997	191	SC07	SC24	85	0	Bone	Aurochs	Astragalus	Left	B	3	Desiccated; cracking; excavation damage; root action; rounded; post-dep modification	No	BD: 59mm	 -	0	Partial astragalus of an aurochs. The bone is desiccated and there are cracks in the bone as a result. There is some modern damage and breakage caused during excavation and lifting. There is root etching on the cortical bone surface. Some of the breakage
85780	Dryland	502802.418	481014.703	24.949	184	SC07	SC24	85	0	Bone	Beaver	Mandible	Right	D	2	Fragmentary; fragile; desiccated; root action; delamination	No	 -	ZooMs	SC179	Very poorly preserved fragment of mandible from a beaver. Almost a stain. Sampled for ZooMs. Very little of the mandible survives but there is a partial incisor root and a possible fragmentary half of a 1st molar that are still visible. The enamel is fla
85785	Dryland	502802.418	481014.571	24.926	184	SC07	SC24	85	0	Bone	Aurochs	Long bone frag.	 -	D	2	Desiccated; fragmentary; fragile; root action; cracking	No	 -	ZooMs	SC180	Fragment of large mammal long bone midshaft that was block lifted. Species ID by ZooMs. The bone is very desiccated, fragmentary and fragile. It is almost at the stage of being called a bone stain. There has obviously been a lot of root activity around t
85787	Dryland	502804.642	481007.575	24.311	179	SC07	SC24	??	0	Antler	Red deer	Antler	 -	D, E	2	Demineralised; desiccated; compressed; rounded; post-dep modification	No	 -	-	0	Large section of a red deer antler. The antler is leathery and very compressed. No surface detail is retained and there is actually some delamination of the surfaces layers too. The edges of the fragment are rounded and smoothed by post-depositional proc
85788	Dryland	502802.364	481014.435	24.957	184	SC07	SC24	85	0	Bone	Wild boar	Unidentified	 -	D	1	 -	No	 -	ZooMs	SC181	ID by ZooMs. Only soil remains in the bag. The bag is located in one large outer bag labelled 'Finds used during ZooMS/Only soil remains'.
